company_name,category,addr_street,addr_number,addr_city
TriplePoint Venture Growth BDC Corp.,n/a,Golf Course,84,Kuwait City
Psychemedics Corporation,Health Care,Transport,26,Vavuniya
Blue Capital Reinsurance Holdings Ltd.,Finance,Calypso,98453,Shilovo
The Spectranetics Corporation,Health Care,Bay,87,Nkpor
ConocoPhillips,Energy,Fuller,66586,Porta
Stamps.com Inc.,Miscellaneous,Granby,4,Balice
"SEACOR Holdings, Inc.",Transportation,Service,9398,Al Qurayn
Kenon Holdings Ltd.,Consumer Services,Corry,8,Fenghuang
Highpower International Inc,Miscellaneous,Dahle,75,Kemendung
GlaxoSmithKline PLC,Health Care,Fairview,10953,Turgenevo
Elkhorn Commodity Rotation Strategy ETF,n/a,Roxbury,91,Pilzno
Actua Corporation,Technology,Ilene,7,Genova
"Sensus Healthcare, Inc.",Health Care,Northridge,7,Trelew
Camtek Ltd.,Capital Goods,Menomonie,2,Sala
Nordson Corporation,Capital Goods,Blackbird,6,Kalapagenep
Central Federal Corporation,Finance,Evergreen,87616,Vandœuvre-lès-Nancy
Masonite International Corporation,Basic Industries,Gateway,2579,Marādah
"Hibbett Sports, Inc.",Consumer Services,Dakota,9059,Isla
Lianluo Smart Limited,Health Care,Mcguire,450,Nanyang
"H&R Block, Inc.",Consumer Services,Petterle,8,Baş Göynük
Advent Claymore Convertible Securities and Income Fund II,n/a,Oneill,26,Drybin
"51job, Inc.",Technology,Becker,5,Nanto-shi
Alleghany Corporation,Finance,Thompson,73036,Kuzovatovo
Nucor Corporation,Basic Industries,Service,4,Hengdian
"DexCom, Inc.",Health Care,Rockefeller,985,Čortanovci
Orrstown Financial Services Inc,Finance,Pepper Wood,041,Houston
"Myers Industries, Inc.",Consumer Non-Durables,Sutherland,3,Purwosari
"America Movil, S.A.B. de C.V.",Public Utilities,Eagan,45471,São Pedro
"Edgewater Technology, Inc.",Technology,Chinook,656,Pensacola
EP Energy Corporation,Energy,Redwing,33,Loen
Vident International Equity Fund,n/a,Dakota,583,Kingston
Grupo Aval Acciones y Valores S.A.,Finance,Northport,53,Mikulintsy
"KemPharm, Inc.",Health Care,Briar Crest,45127,Araripina
Reynolds American Inc,Consumer Non-Durables,Canary,437,Salto
"NV5 Global, Inc.",Consumer Services,Maywood,8183,Mtimbira
"HCP, Inc.",Consumer Services,Goodland,0270,Bayt Maqdūm
"Sunshine Bancorp, Inc.",Finance,Sheridan,2852,Aldana
M III Acquisition Corp.,Finance,Dwight,1,Qingban
"American Realty Investors, Inc.",Finance,Barby,647,Rochester
Matrix Service Company,Basic Industries,Badeau,7890,Baleber
Bright Horizons Family Solutions Inc.,Miscellaneous,Straubel,6,Songjiang
Corporate Office Properties Trust,n/a,Surrey,6149,Tabou
Royal Caribbean Cruises Ltd.,Consumer Services,Jenifer,98560,Não Me Toque
Avista Corporation,Public Utilities,Browning,21,Lorient
Diodes Incorporated,Technology,Morrow,9,Siaya
"Express, Inc.",Consumer Services,Del Sol,128,Luorong
McEwen Mining Inc.,Basic Industries,Walton,9853,Zhangpu
AXT Inc,Technology,Kropf,124,Balta
Tennessee Valley Authority,Public Utilities,Maple,59542,Makumbako
Nabriva Therapeutics AG,Health Care,Donald,59549,Salcedo
"PCM, Inc.",Consumer Services,Express,0,Cihua
"Pain Therapeutics, Inc.",Health Care,Crownhardt,2329,Zhigong
Vermilion Energy Inc.,Energy,Dexter,06693,Himeji
CBS Corporation,n/a,Kings,57,Somerset East
"Minerva Neurosciences, Inc",Health Care,Mcguire,7791,Biloxi
Healthcare Realty Trust Incorporated,Consumer Services,Norway Maple,33,Trondheim
Vanguard Russell 3000 ETF,n/a,Basil,4,Qiujima
"AG Mortgage Investment Trust, Inc.",n/a,Monica,38385,Żyrardów
Forum Merger Corporation,Finance,Moland,6,Agkathiá
"Connecture, Inc.",Technology,Manley,8415,Xiaoling
"Piedmont Office Realty Trust, Inc.",Consumer Services,Portage,1851,Opol
"Franklin Financial Network, Inc.",Finance,Utah,05060,Linao
Zynga Inc.,Technology,8th,76995,Klenak
"Iteris, Inc.",Consumer Durables,Kipling,7,Bluefields
Gabelli NextShares Trust,n/a,Cascade,9,Ploemeur
DaVita Inc.,Health Care,Cardinal,31,Anh Son
"Guaranty Federal Bancshares, Inc.",Finance,Nevada,4,Nizhnepavlovka
Bitauto Holdings Limited,Technology,Lakeland,7,Cachan
"Boston Properties, Inc.",n/a,Emmet,45382,Maji
"Sage Therapeutics, Inc.",Health Care,Weeping Birch,22927,Khŭjand
China Eastern Airlines Corporation Ltd.,Transportation,Alpine,5,Greensboro
Progenics Pharmaceuticals Inc.,Health Care,Shasta,95943,Shaliu
Newmont Mining Corporation,Basic Industries,Park Meadow,0,Weihe
"Popular, Inc.",Finance,Jenifer,031,Wuyang
"Trex Company, Inc.",Basic Industries,Florence,06,Horodyshche
J P Morgan Chase & Co,Finance,Roxbury,3,Castanheiro do Sul
Hunter Maritime Acquisition Corp.,Transportation,Hintze,578,Tamanan
"CDK Global, Inc.",Miscellaneous,Melody,12978,Não Me Toque
"Red Hat, Inc.",Technology,Stephen,0,Liuheng
Global X Robotics & Artificial Intelligence ETF,n/a,Basil,807,Demyansk
La-Z-Boy Incorporated,Consumer Durables,Daystar,78,Białobrzegi
"Ingles Markets, Incorporated",Consumer Services,Lillian,9,Lubei
"Tarena International, Inc.",Consumer Services,Hudson,210,Kadoma
Ohio Valley Banc Corp.,Finance,Sutteridge,43,Poputnaya
Zion Oil & Gas Inc,Energy,Transport,0109,Satipo
"Chembio Diagnostics, Inc.",Health Care,Blackbird,36,Jiangjing
"Boston Beer Company, Inc. (The)",Consumer Non-Durables,Harbort,27741,Gwangjeok
Flushing Financial Corporation,Finance,Havey,3,Chavão
Wintrust Financial Corporation,Finance,Melrose,741,Cincinnati
FIRST REPUBLIC BANK,n/a,Gina,4361,Khorramdarreh
Resource Capital Corp.,Consumer Services,Ramsey,939,Irosin
"FLIR Systems, Inc.",Capital Goods,Park Meadow,18,Taifu
"AG Mortgage Investment Trust, Inc.",n/a,Warner,3,Palmital
"Gray Television, Inc.",Consumer Services,Carpenter,86,Kano
"Biomerica, Inc.",Health Care,Northwestern,359,Gaiyang
"NiSource, Inc",Public Utilities,Dakota,64,Lampa
Enbridge Energy Management LLC,Energy,Merchant,9,Daxin
VivoPower International PLC,Public Utilities,Delaware,65,Saitama
"Team, Inc.",Consumer Services,Hanson,3,Postmasburg
Almost Family Inc,Health Care,Fair Oaks,07,Runaway Bay
CABCO Series 2004-101 Trust,Finance,Village Green,35,Chaoyang
Entercom Communications Corporation,Consumer Services,Hauk,4331,Nan’an
First Trust Switzerland AlphaDEX Fund,n/a,Main,616,Moch
Kingold Jewelry Inc.,Miscellaneous,Granby,94197,Banī Suhaylā
PIMCO Municipal Income Fund III,n/a,Blackbird,6,Tianchang
Vanguard International Dividend Appreciation ETF,n/a,Summit,9,Punkaharju
"DWS High Income Opportunities Fund, Inc.",n/a,Coolidge,82,Marinilla
"China Commercial Credit, Inc.",Finance,Northland,24,Vanadzor
Invesco Pennsylvania Value Municipal Income Trust,n/a,Brown,12,Saint-Priest
Aehr Test Systems,Capital Goods,Scofield,72,Methóni
"Advanced Emissions Solutions, Inc.",Basic Industries,Shopko,0458,Youlongchuan
Hancock Holding Company,Finance,Eastlawn,3,Saint-Sauveur
Xinyuan Real Estate Co Ltd,Basic Industries,Elgar,1024,Apiaí
Invesco Value Municipal Income Trust,n/a,Anderson,385,Malartic
Horizon Global Corporation,Capital Goods,Buhler,421,Syamzha
"International Seaways, Inc.",Consumer Services,Delladonna,46228,Budakovo
iShares PHLX SOX Semiconductor Sector Index Fund,n/a,Delladonna,72,Shaxi
"Energy XXI Gulf Coast, Inc.",Energy,Londonderry,4187,Iquique
First Financial Bancorp.,Finance,Charing Cross,45,Krasnogorskoye
Capitala Finance Corp.,n/a,Crest Line,1167,Tha Ruea
"National CineMedia, Inc.",Consumer Services,Golf View,6,Menlou
Teleflex Incorporated,Health Care,Graceland,327,Munsan
Aurinia Pharmaceuticals Inc,Health Care,Ridgeview,0024,Bieto
"Home BancShares, Inc.",Finance,Maryland,2110,Miragaia
"NetApp, Inc.",Technology,Lien,0,Oeba
"OraSure Technologies, Inc.",Health Care,Crownhardt,604,Qingshui
"Plantronics, Inc.",Public Utilities,Petterle,796,Kálymnos
Cytori Therapeutics Inc,Health Care,Prentice,613,Miyata
"Thai Fund, Inc. (The)",n/a,Moulton,71,Karagandy
Piper Jaffray Companies,Finance,Quincy,12639,Linton
"Under Armour, Inc.",Consumer Non-Durables,Maryland,4300,Anping
Shinhan Financial Group Co Ltd,Finance,Becker,34,Tomaševac
Verint Systems Inc.,Technology,Moland,7879,Bungbulang
"DigitalGlobe, Inc",Consumer Services,Logan,15,Huntsville
Nabors Industries Ltd.,Energy,Pleasure,042,Patrang
Hudbay Minerals Inc.,n/a,Lawn,2,Dolinsk
Frontier Communications Corporation,Public Utilities,Coleman,11,Lyon
"Brinker International, Inc.",Consumer Services,Independence,456,Chlói
1st Source Corporation,Finance,Oak,03592,Sandaogou
Aircastle Limited,Technology,Mallory,3,Najin
"Sunesis Pharmaceuticals, Inc.",Health Care,Arapahoe,2582,Honggang
UNITIL Corporation,Public Utilities,John Wall,88,San Ramón
Bank Of Montreal,n/a,7th,8676,Ryglice
Nuveen Diversified Dividend and Income Fund,n/a,Rigney,1688,Charlottenberg
Zebra Technologies Corporation,Technology,Shoshone,7,Yun’an
Quidel Corporation,Health Care,Debra,5,Svalöv
Enerplus Corporation,Energy,Twin Pines,925,Vukovije Donje
Vanguard Short-Term Inflation-Protected Securities Index Fund,n/a,Kings,3,Luzhang
"Automatic Data Processing, Inc.",Technology,Melrose,4030,Lopatyn
Coupa Software Incorporated,Technology,Homewood,230,Badung
Towne Bank,n/a,Summer Ridge,50543,Kāmyārān
Great Ajax Corp.,Consumer Services,Anzinger,59649,Fushë-Muhurr
Intercontinental Exchange Inc.,Finance,Eggendart,3092,Khinjān
CHS Inc,Consumer Services,Moose,08,Mariefred
DENTSPLY SIRONA Inc.,Health Care,Oakridge,6,Sousse
"Staffing 360 Solutions, Inc.",Technology,Leroy,12,Tianhe
Rosehill Resources Inc.,Energy,Oakridge,25,Forquilhinha
ICICI Bank Limited,Finance,Del Sol,789,Changbao
"Yum China Holdings, Inc.",Consumer Services,Hudson,785,Xiashihao
"Shiloh Industries, Inc.",Capital Goods,High Crossing,8283,Gondang
"NextEra Energy, Inc.",n/a,Florence,1848,Évreux
First South Bancorp Inc,Finance,Susan,1445,Ichuña
Allegiant Travel Company,Transportation,Farwell,1257,Perené
Nomura Holdings Inc ADR,Finance,Mcguire,801,Firenze
PowerShares KBW Regional Banking Portfolio,n/a,Melody,9,Uliastay
"Compania Cervecerias Unidas, S.A.",Consumer Non-Durables,Meadow Valley,13908,Katrineholm
Amedisys Inc,Health Care,Anthes,020,Kajuru
VEREIT Inc.,Consumer Services,Meadow Vale,07,Matam
Nova Measuring Instruments Ltd.,Capital Goods,Warbler,6,Anin
Bank Of Montreal,n/a,Hoard,41991,Quwaysinā
Hudbay Minerals Inc.,n/a,Schlimgen,9,Frisange
Nustar Energy L.P.,Energy,Mandrake,5967,Aş Şanamayn
"RTI Surgical, Inc.",Health Care,Gerald,0524,Courbevoie
"United Dominion Realty Trust, Inc.",Consumer Services,Esch,75200,Baryshivka
"Neurotrope, Inc.",Health Care,Banding,707,Putukrejo
Iron Mountain Incorporated,Consumer Services,Jenna,462,Kosava
Cott Corporation,Consumer Non-Durables,Merrick,6,Funchal
"Rockwell Automation, Inc.",Capital Goods,Grayhawk,85,Yambol
NovoCure Limited,Health Care,Hoffman,9,Sanchahe
"West Pharmaceutical Services, Inc.",Basic Industries,Maryland,7241,Bangkok
Layne Christensen Company,Basic Industries,Colorado,39682,Golek
PowerShares S&P SmallCap Industrials Portfolio,n/a,Katie,1854,Pilluana
Medallion Financial Corp.,Finance,Arapahoe,768,Protvino
"Tandy Leather Factory, Inc.",Consumer Non-Durables,Oneill,135,Bakersfield
"Moneygram International, Inc.",Miscellaneous,Toban,87399,Awilega
"Dicerna Pharmaceuticals, Inc.",Health Care,Kedzie,32,Tanglag
Tupperware Brands Corporation,Consumer Non-Durables,Kipling,60614,Pākpattan
Qwest Corporation,Public Utilities,Debra,3072,San Isidro
Enel Americas S.A.,Public Utilities,Springview,4,Ordzhonikidze
Allot Communications Ltd.,Technology,Golf View,0,Busuanga
"Banco Santander, S.A.",n/a,Gale,36851,Kyzyl-Burun
"Marsh & McLennan Companies, Inc.",Finance,Loomis,02478,Huayuanli
Campbell Soup Company,Consumer Non-Durables,Swallow,366,Mekarsari
"MobileIron, Inc.",Technology,Ludington,733,Liangshan
"Coach, Inc.",Consumer Non-Durables,Russell,76,Keelung
Sina Corporation,Technology,Brentwood,449,Baruchowo
Reading International Inc,Consumer Services,Green Ridge,54691,Cikiwul Satu
Gabelli Global Small and Mid Cap Value Trust (The),n/a,Pine View,1640,Ujsoły
Erie Indemnity Company,Finance,Nobel,040,Bungoma
"Hostess Brands, Inc.",Consumer Non-Durables,Moose,3,Moulins
FIRST REPUBLIC BANK,n/a,Declaration,02,Junxi
Lifevantage Corporation,Health Care,Buell,9037,Qanliko’l
Tronox Limited,Basic Industries,Vera,4314,Dushu
Performance Food Group Company,Consumer Non-Durables,Schlimgen,7985,Ryki
Francesca's Holdings Corporation,Consumer Services,Oriole,09,Juancheng
"Nuveen California Municipal Value Fund, Inc.",n/a,Dorton,099,Chenhu
The Charles Schwab Corporation,Finance,Eagan,905,Sayán
"Mohawk Industries, Inc.",Consumer Durables,Bluestem,16881,Qiting
Ritchie Bros. Auctioneers Incorporated,Miscellaneous,Victoria,5855,Calasgasan
"D.R. Horton, Inc.",Capital Goods,Birchwood,184,Iralaya
First Trust NASDAQ Cybersecurity ETF,n/a,Chive,3993,Meipu
"Malvern Bancorp, Inc.",Finance,Schurz,578,Ban Mai
Edwards Lifesciences Corporation,Health Care,Esch,70145,Maiorca
"Digital Realty Trust, Inc.",n/a,Kipling,09,Quintas
"Shake Shack, Inc.",Consumer Services,Badeau,37060,Magaozhuang
Vornado Realty Trust,n/a,Caliangt,902,Kambing
National Retail Properties,Consumer Services,Pierstorff,6072,Strömsund
Ladder Capital Corp,Consumer Services,Lien,01421,Daugavgrīva
Salesforce.com Inc,Technology,Lunder,5,Agboville
"Zayo Group Holdings, Inc.",Public Utilities,Eliot,21107,Clearwater
Anika Therapeutics Inc.,Health Care,Crowley,177,Jaguimitan
"First Financial Bankshares, Inc.",Finance,Bonner,7872,Huicungo
Altisource Residential Corporation,Finance,Karstens,89,Jianggu
"Exponent, Inc.",Consumer Services,Troy,6,Akron
Oxbridge Re Holdings Limited,Finance,Emmet,62201,Gubskaya
Central European Media Enterprises Ltd.,Consumer Services,Sycamore,2190,Hongqi
Territorial Bancorp Inc.,Finance,Fordem,4,Huotong
Oconee Federal Financial Corp.,Finance,Farwell,2412,Lauro de Freitas
"Momenta Pharmaceuticals, Inc.",Health Care,Parkside,42,Tiling
"Opexa Therapeutics, Inc.",Health Care,Derek,1325,Kedungwringin
"Mueller Industries, Inc.",Capital Goods,Kedzie,41,Nakhon Luang
"Fidelity National Financial, Inc.",Finance,Sunnyside,95,Winter Haven
Kemper Corporation,Finance,Kings,5679,Kropotkin
"Del Taco Restaurants, Inc.",Consumer Services,Cardinal,84,Novonukutskiy
DAQO New Energy Corp.,Technology,Lillian,11,Halteu
"Edge Therapeutics, Inc.",Health Care,Logan,68167,Longfeng
"Ultra Clean Holdings, Inc.",Technology,Eliot,0435,San Vicente
BlackRock Capital Investment Corporation,n/a,Rieder,599,Itabaiana
"Engility Holdings, Inc.",Consumer Services,Fordem,85931,Quezalguaque
Andina Acquisition Corp. II,Finance,Lotheville,05560,Cogon
Neff Corporation,Technology,Susan,32463,Jiucaizhuang
PowerShares DWA Consumer Staples Momentum Portfolio,n/a,Graedel,130,Weixin
"Washington Federal, Inc.",Finance,Briar Crest,8079,Ardabīl
SLM Corporation,Finance,John Wall,1,Floriana
AllianzGI Diversified Income & Convertible Fund,n/a,Southridge,4544,Bolhrad
Nuveen Municipal Credit Income Fund,n/a,Lakeland,45,Karjalohja
"Perficient, Inc.",Technology,Anniversary,5415,Charleston
Five Oaks Investment Corp.,n/a,Schiller,93193,Nouvelle France
"U.S. Auto Parts Network, Inc.",Consumer Services,Moland,2,Pindi Gheb
Qualstar Corporation,Technology,Petterle,425,Lāmerd
"SunTrust Banks, Inc.",n/a,Chive,03108,Jamshoro
First Trust Indxx Global Agriculture ETF,n/a,Crest Line,8702,Ejido
"HCI Group, Inc.",Finance,Packers,96,Edsbyn
"j2 Global, Inc.",Technology,Caliangt,90,Arţās
"Anthera Pharmaceuticals, Inc.",Health Care,Sugar,36553,Virbalis
Compass Diversified Holdings,Consumer Durables,Barnett,28,Bicesse
UroGen Pharma Ltd.,Health Care,Grim,4321,Vanadzor
International Business Machines Corporation,Technology,Lukken,3562,Gangsha
ePlus inc.,Technology,Kedzie,9,Kasembon
"PS Business Parks, Inc.",n/a,Almo,3,Oujiangcha
Nustar Energy L.P.,n/a,Fallview,82997,Paraíso
"Zayo Group Holdings, Inc.",Public Utilities,Eagle Crest,691,Shuiquan
AAR Corp.,Capital Goods,Sloan,187,Tamanar
Virtusa Corporation,Technology,Dottie,5155,Guangshun
Cemtrex Inc.,Capital Goods,Comanche,29,Umbultanjung
National General Holdings Corp,Finance,2nd,920,Delanggu
National Commerce Corporation,Finance,Carpenter,6,Shatura
Vident Core U.S. Bond Strategy Fund,n/a,Moulton,8,Huilong
Radian Group Inc.,Finance,Mariners Cove,750,Sukošan
Navios Maritime Holdings Inc.,n/a,Lukken,60025,Starokucherganovka
Eversource Energy,Public Utilities,Oak,5,Medovene
Harmony Merger Corp.,Public Utilities,Hovde,10,Zuitou
"Gabelli Equity Trust, Inc. (The)",n/a,Green Ridge,75489,Pakuranga
"TechTarget, Inc.",Miscellaneous,Lawn,7,Sauce
"Aspen Technology, Inc.",Technology,Mifflin,919,Baculin
"Myers Industries, Inc.",Consumer Non-Durables,Schmedeman,6985,Nevinnomyssk
AllianceBernstein Holding L.P.,Finance,Pawling,53004,Saskatoon
Caesarstone Ltd.,Capital Goods,Oak,53,Hengpi
"First Bancorp, Inc (ME)",Finance,Lyons,4712,Brescia
BLDRS Europe 100 ADR Index Fund,n/a,Warner,3050,Atlanta
"Emergent Biosolutions, Inc.",Health Care,Algoma,8036,Zhamog
China Distance Education Holdings Limited,Consumer Services,Kipling,013,Pom Prap Sattru Phai
Bank Mutual Corporation,Finance,Myrtle,5,Anren Chengguanzhen
"Anthera Pharmaceuticals, Inc.",Health Care,Mariners Cove,26,Tournai
"Real Goods Solar, Inc.",Basic Industries,Donald,846,Oke Iho
"Chiasma, Inc.",Health Care,7th,35421,Weekombaka
Bright Scholar Education Holdings Limited,Consumer Services,Gina,24345,Shiling
